Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species	ASV	SUM	Percent	CA1	CA2	CA3	GCA1	GCA2	GCA3	GNA1	GNA2	GNA3	NA1	NA2	NA3
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Noviherbaspirillum	s__unclassified_g__Noviherbaspirillum	ASV449	6	5.40E-05	0	0	0	6	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Pseudoxanthobacter	s__uncultured_Alphaproteobacteria_bacterium_g__Pseudoxanthobacter	ASV200	49	0.000441394	3	0	0	6	0	0	0	0	0	24	12	4
d__Bacteria	k__norank_d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus	s__unclassified_g__Paenibacillus	ASV450	6	5.40E-05	0	0	0	6	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Bradyrhizobium	s__unclassified_g__Bradyrhizobium	ASV451	6	5.40E-05	0	0	0	6	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Pseudonocardiales	f__Pseudonocardiaceae	g__Saccharothrix	s__unclassified_g__Saccharothrix	ASV452	6	5.40E-05	0	0	0	6	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiales_Incertae_Sedis	g__norank_f__Rhizobiales_Incertae_Sedis	s__unclassified_g__norank_f__Rhizobiales_Incertae_Sedis	ASV453	6	5.40E-05	0	0	0	6	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__Pajaroellobacter	s__unclassified_g__Pajaroellobacter	ASV454	5	4.50E-05	0	0	0	5	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingopyxis	s__unclassified_g__Sphingopyxis	ASV456	5	4.50E-05	0	0	0	5	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__unclassified_o__Burkholderiales	g__unclassified_o__Burkholderiales	s__unclassified_o__Burkholderiales	ASV457	5	4.50E-05	0	0	0	5	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Ramlibacter	s__Ramlibacter_henchirensis	ASV458	30	0.000270241	0	0	0	5	0	18	0	0	0	0	7	0
d__Bacteria	k__norank_d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__Pedosphaeraceae	g__RS25G	s__metagenome_g__RS25G	ASV459	6	5.40E-05	0	0	0	4	0	0	0	0	0	0	2	0
d__Bacteria	k__norank_d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__P3OB-42	s__metagenome_g__P3OB-42	ASV460	4	3.60E-05	0	0	0	4	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Rubrobacteria	o__Rubrobacterales	f__Rubrobacteriaceae	g__Rubrobacter	s__unclassified_g__Rubrobacter	ASV461	4	3.60E-05	0	0	0	4	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__unclassified_o__Rhizobiales	g__unclassified_o__Rhizobiales	s__unclassified_o__Rhizobiales	ASV463	4	3.60E-05	0	0	0	4	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__IMCC26256	f__norank_o__IMCC26256	g__norank_f__norank_o__IMCC26256	s__uncultured_Actinomycetales_bacterium_g__norank_f__norank_o__IMCC26256	ASV464	3	2.70E-05	0	0	0	3	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__Geodermatophilaceae	g__unclassified_f__Geodermatophilaceae	s__unclassified_f__Geodermatophilaceae	ASV465	3	2.70E-05	0	0	0	3	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Gaiellales	f__norank_o__Gaiellales	g__norank_f__norank_o__Gaiellales	s__unclassified_g__norank_f__norank_o__Gaiellales	ASV466	3	2.70E-05	0	0	0	3	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__Ellin6067	s__unclassified_g__Ellin6067	ASV467	3	2.70E-05	0	0	0	3	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Streptosporangiales	f__Thermomonosporaceae	g__unclassified_f__Thermomonosporaceae	s__unclassified_f__Thermomonosporaceae	ASV468	24	0.000216193	0	0	0	3	0	0	0	0	0	0	21	0
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium	s__unclassified_g__Bifidobacterium	ASV469	3	2.70E-05	0	0	0	3	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__unclassified_o__Frankiales	g__unclassified_o__Frankiales	s__unclassified_o__Frankiales	ASV470	3	2.70E-05	0	0	0	3	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Chloroflexi	c__Chloroflexia	o__Chloroflexales	f__Roseiflexaceae	g__norank_f__Roseiflexaceae	s__uncultured_bacterium_g__norank_f__Roseiflexaceae	ASV471	2	1.80E-05	0	0	0	2	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Bdellovibrionota	c__Oligoflexia	o__0319-6G20	f__norank_o__0319-6G20	g__norank_f__norank_o__0319-6G20	s__unclassified_g__norank_f__norank_o__0319-6G20	ASV472	2	1.80E-05	0	0	0	2	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__BIrii41	g__norank_f__BIrii41	s__unclassified_g__norank_f__BIrii41	ASV139	9	8.11E-05	0	7	0	2	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Bdellovibrionota	c__Oligoflexia	o__0319-6G20	f__norank_o__0319-6G20	g__norank_f__norank_o__0319-6G20	s__uncultured_Roseobacter_sp._g__norank_f__norank	ASV473	2	1.80E-05	0	0	0	2	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Chloroflexi	c__TK10	o__norank_c__TK10	f__norank_o__norank_c__TK10	g__norank_f__norank_o__norank_c__TK10	s__unclassified_g__norank_f__norank_o__norank_c__TK10	ASV474	2	1.80E-05	0	0	0	2	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Cyanobacteria	c__Sericytochromatia	o__norank_c__Sericytochromatia	f__norank_o__norank_c__Sericytochromatia	g__norank_f__norank_o__norank_c__Sericytochromatia	s__uncultured_bacterium_g__norank_f__norank_o__norank_c__Sericytochromatia	ASV475	2	1.80E-05	0	0	0	2	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__norank_o__Frankiales	g__norank_f__norank_o__Frankiales	s__unclassified_g__norank_f__norank_o__Frankiales	ASV476	2	1.80E-05	0	0	0	2	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Cellulomonadaceae	g__Cellulomonas	s__unclassified_g__Cellulomonas	ASV477	4	3.60E-05	0	0	0	2	0	2	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Microtrichales	f__Microtrichaceae	g__IMCC26207	s__unclassified_g__IMCC26207	ASV478	2	1.80E-05	0	0	0	2	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__unclassified_f__Oxalobacteraceae	s__unclassified_f__Oxalobacteraceae	ASV250	46	0.00041437	0	0	0	0	0	0	46	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__unclassified_g__Sphingomonas	ASV251	55	0.000495442	0	0	0	0	0	0	45	0	10	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Diplorickettsiales	f__Diplorickettsiaceae	g__norank_f__Diplorickettsiaceae	s__unclassified_g__norank_f__Diplorickettsiaceae	ASV258	21	0.000189169	0	0	0	0	0	0	21	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__unclassified_g__Nocardioides	ASV260	19	0.000171153	0	0	0	0	0	0	19	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__unclassified_g__Bacillus	ASV207	30	0.000270241	0	0	0	0	0	0	17	0	0	13	0	0
d__Bacteria	k__norank_d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__unclassified_g__Bacillus	ASV266	27	0.000243217	0	0	0	0	0	13	14	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus	s__unclassified_g__Paenibacillus	ASV267	24	0.000216193	11	0	0	0	0	0	13	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus	s__unclassified_g__Paenibacillus	ASV268	13	0.000117104	0	0	0	0	0	0	13	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Altererythrobacter	s__unclassified_g__Altererythrobacter	ASV270	13	0.000117104	0	0	0	0	0	0	13	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__unclassified_f__Micrococcaceae	s__unclassified_f__Micrococcaceae	ASV272	11	9.91E-05	0	0	0	0	0	0	11	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus	s__unclassified_g__Paenibacillus	ASV273	45	0.000405362	0	0	0	0	0	34	11	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Gammaproteobacteria_Incertae_Sedis	f__unclassified_o__Gammaproteobacteria_Incertae_Sedis	g__Acidibacter	s__metagenome_g__Acidibacter	ASV276	10	9.01E-05	0	0	0	0	0	0	10	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Pseudonocardiales	f__Pseudonocardiaceae	g__Lechevalieria	s__unclassified_g__Lechevalieria	ASV278	9	8.11E-05	0	0	0	0	0	0	9	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus	s__unclassified_g__Paenibacillus	ASV279	62	0.000558498	32	0	0	0	0	0	9	0	0	0	0	21
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__unclassified_f__Comamonadaceae	s__unclassified_f__Comamonadaceae	ASV280	125	0.001126004	0	0	0	0	0	44	9	0	72	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__unclassified_g__Pseudomonas	ASV281	13	0.000117104	0	0	0	0	0	0	9	0	0	0	4	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Burkholderia-Caballeronia-Paraburkholderia	s__unclassified_g__Burkholderia-Caballeronia-Paraburkholderia	ASV284	8	7.21E-05	0	0	0	0	0	0	8	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	s__unclassified_g__Phenylobacterium	ASV285	8	7.21E-05	0	0	0	0	0	0	8	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Pseudarthrobacter	s__unclassified_g__Pseudarthrobacter	ASV286	12	0.000108096	0	0	0	0	0	0	8	0	0	0	0	4
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Gammaproteobacteria_Incertae_Sedis	f__unclassified_o__Gammaproteobacteria_Incertae_Sedis	g__Acidibacter	s__uncultured_bacterium_g__Acidibacter	ASV289	14	0.000126112	0	0	0	0	0	0	7	0	0	0	7	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Mesorhizobium	s__unclassified_g__Mesorhizobium	ASV291	6	5.40E-05	0	0	0	0	0	0	6	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__unclassified_f__Comamonadaceae	s__unclassified_f__Comamonadaceae	ASV292	12	0.000108096	0	0	0	0	0	0	6	0	0	0	0	6
d__Bacteria	k__norank_d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus	s__unclassified_g__Paenibacillus	ASV293	6	5.40E-05	0	0	0	0	0	0	6	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingoaurantiacus	s__uncultured_bacterium_g__Sphingoaurantiacus	ASV294	5	4.50E-05	0	0	0	0	0	0	5	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Propionibacteriales	f__Nocardioidaceae	g__Aeromicrobium	s__unclassified_g__Aeromicrobium	ASV109	18	0.000162145	2	11	0	0	0	0	5	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__unclassified_f__Sphingomonadaceae	s__unclassified_f__Sphingomonadaceae	ASV295	5	4.50E-05	0	0	0	0	0	0	5	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Lysobacter	s__unclassified_g__Lysobacter	ASV296	5	4.50E-05	0	0	0	0	0	0	5	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__unclassified_c__Alphaproteobacteria	f__unclassified_c__Alphaproteobacteria	g__unclassified_c__Alphaproteobacteria	s__unclassified_c__Alphaproteobacteria	ASV297	10	9.01E-05	0	0	0	0	0	0	4	0	0	0	6	0
d__Bacteria	k__norank_d__Bacteria	p__Firmicutes	c__Bacilli	o__Aneurinibacillales	f__Aneurinibacillaceae	g__Aneurinibacillus	s__unclassified_g__Aneurinibacillus	ASV299	4	3.60E-05	0	0	0	0	0	0	4	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus	s__unclassified_g__Paenibacillus	ASV300	4	3.60E-05	0	0	0	0	0	0	4	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__norank_f__Xanthobacteraceae	s__unclassified_g__norank_f__Xanthobacteraceae	ASV302	4	3.60E-05	0	0	0	0	0	0	4	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Diplorickettsiales	f__Diplorickettsiaceae	g__norank_f__Diplorickettsiaceae	s__unclassified_g__norank_f__Diplorickettsiaceae	ASV85	20	0.000180161	0	16	0	0	0	0	4	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__unclassified_g__Sphingomonas	ASV303	4	3.60E-05	0	0	0	0	0	0	4	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__norank_f__Xanthobacteraceae	s__Afipia_genosp._12	ASV304	4	3.60E-05	0	0	0	0	0	0	4	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Noviherbaspirillum	s__Noviherbaspirillum_malthae	ASV305	4	3.60E-05	0	0	0	0	0	0	4	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Pseudonocardiales	f__Pseudonocardiaceae	g__Amycolatopsis	s__unclassified_g__Amycolatopsis	ASV307	3	2.70E-05	0	0	0	0	0	0	3	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__SC-I-84	g__norank_f__SC-I-84	s__unclassified_g__norank_f__SC-I-84	ASV308	3	2.70E-05	0	0	0	0	0	0	3	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Anaeromyxobacteraceae	g__Anaeromyxobacter	s__uncultured_bacterium_SJA-5	ASV310	3	2.70E-05	0	0	0	0	0	0	3	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Croceicoccus	s__unclassified_g__Croceicoccus	ASV312	3	2.70E-05	0	0	0	0	0	0	3	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__unclassified_f__Rhodobacteraceae	s__unclassified_f__Rhodobacteraceae	ASV313	10	9.01E-05	0	0	0	0	0	7	3	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella	s__Legionella_sp._LC2720	ASV314	3	2.70E-05	0	0	0	0	0	0	3	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Xanthobacter	s__unclassified_g__Xanthobacter	ASV316	3	2.70E-05	0	0	0	0	0	0	3	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus	s__unclassified_g__Paenibacillus	ASV317	3	2.70E-05	0	0	0	0	0	0	3	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingobium	s__unclassified_g__Sphingobium	ASV318	12	0.000108096	0	0	0	0	0	5	3	0	4	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Paracaedibacterales	f__Paracaedibacteraceae	g__norank_f__Paracaedibacteraceae	s__unclassified_g__norank_f__Paracaedibacteraceae	ASV319	2	1.80E-05	0	0	0	0	0	0	2	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Limibaculum	s__uncultured_bacterium_g__Limibaculum	ASV320	2	1.80E-05	0	0	0	0	0	0	2	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Pseudoxanthobacter	s__uncultured_Alphaproteobacteria_bacterium_g__Pseudoxanthobacter	ASV322	2	1.80E-05	0	0	0	0	0	0	2	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus_mannanilyticus	ASV324	2	1.80E-05	0	0	0	0	0	0	2	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__unclassified_g__Staphylococcus	ASV325	2	1.80E-05	0	0	0	0	0	0	2	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Streptomycetales	f__Streptomycetaceae	g__Streptomyces	s__unclassified_g__Streptomyces	ASV30	53	0.000477426	0	53	0	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Methylophilaceae	g__unclassified_f__Methylophilaceae	s__unclassified_f__Methylophilaceae	ASV31	45	0.000405362	0	45	0	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Streptomycetales	f__Streptomycetaceae	g__Streptomyces	s__unclassified_g__Streptomyces	ASV41	76	0.000684611	0	39	0	0	0	0	0	0	0	0	34	3
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Cellvibrionales	f__Cellvibrionaceae	g__Cellvibrio	s__unclassified_g__Cellvibrio	ASV43	40	0.000360321	0	37	0	0	0	0	0	0	0	3	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Hyphomicrobium	s__unclassified_g__Hyphomicrobium	ASV50	30	0.000270241	0	30	0	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	s__unclassified_g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	ASV54	39	0.000351313	0	29	0	0	0	10	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus	s__Paenibacillus_thermoaerophilus	ASV67	22	0.000198177	0	22	0	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Devosiaceae	g__Devosia	s__unclassified_g__Devosia	ASV72	21	0.000189169	0	21	0	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Streptomycetales	f__Streptomycetaceae	g__Streptomyces	s__unclassified_g__Streptomyces	ASV75	20	0.000180161	0	20	0	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Ensifer	s__unclassified_g__Ensifer	ASV80	18	0.000162145	0	18	0	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Chloroflexi	c__Ktedonobacteria	o__C0119	f__norank_o__C0119	g__norank_f__norank_o__C0119	s__uncultured_bacterium_g__norank_f__norank_o__C0119	ASV86	16	0.000144129	0	16	0	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__unclassified_f__Xanthobacteraceae	s__unclassified_f__Xanthobacteraceae	ASV90	16	0.000144129	0	16	0	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus	s__unclassified_g__Paenibacillus	ASV91	15	0.000135121	0	15	0	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Devosiaceae	g__Devosia	s__unclassified_g__Devosia	ASV92	32	0.000288257	0	15	0	0	0	0	0	0	0	0	17	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Devosiaceae	g__Devosia	s__unclassified_g__Devosia	ASV94	15	0.000135121	0	15	0	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Ensifer	s__unclassified_g__Ensifer	ASV95	15	0.000135121	0	15	0	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Pseudorhodoplanes	s__unclassified_g__Pseudorhodoplanes	ASV96	14	0.000126112	0	14	0	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Gammaproteobacteria_Incertae_Sedis	f__unclassified_o__Gammaproteobacteria_Incertae_Sedis	g__Acidibacter	s__unclassified_g__Acidibacter	ASV102	345	0.003107772	0	12	0	0	0	0	0	0	0	0	0	333
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__unclassified_f__Comamonadaceae	s__unclassified_f__Comamonadaceae	ASV105	12	0.000108096	0	12	0	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Promicromonosporaceae	g__Promicromonospora	s__unclassified_g__Promicromonospora	ASV108	11	9.91E-05	0	11	0	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__unclassified_f__Hyphomicrobiaceae	s__unclassified_f__Hyphomicrobiaceae	ASV112	11	9.91E-05	0	11	0	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Devosiaceae	g__Devosia	s__unclassified_g__Devosia	ASV114	11	9.91E-05	0	11	0	0	0	0	0	0	0	0	0	0
